,年月日時,東京,東京.1,府中,八王子,小河内,青梅,練馬,hour,day,month
0,2022/6/14 1:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,1,14,6
1,2022/6/14 2:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,2,14,6
2,2022/6/14 3:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,3,14,6
3,2022/6/14 4:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,4,14,6
4,2022/6/14 5:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,5,14,6
5,2022/6/14 6:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,6,14,6
6,2022/6/14 7:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,7,14,6
7,2022/6/14 8:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,8,14,6
8,2022/6/14 9:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,9,14,6
9,2022/6/14 10:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,10,14,6
10,2022/6/14 11:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,11,14,6
11,2022/6/14 12:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,12,14,6
12,2022/6/14 13:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,13,14,6
13,2022/6/14 14:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,14,14,6
14,2022/6/14 15:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,15,14,6
15,2022/6/14 16:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,16,14,6
16,2022/6/14 17:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,17,14,6
17,2022/6/14 18:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,18,14,6
18,2022/6/14 19:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,19,14,6
19,2022/6/14 20:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,20,14,6
20,2022/6/14 21:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,21,14,6
21,2022/6/14 22:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,22,14,6
22,2022/6/14 23:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,23,14,6
23,2022/6/15 0:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,0,15,6
24,2022/6/15 1:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,1,15,6
25,2022/6/15 2:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,2,15,6
26,2022/6/15 3:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,3,15,6
27,2022/6/15 4:00:00,0.0,1,0.0,0.0,0.0,0.0,0.0,4,15,6
28,2022/6/15 5:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,5,15,6
29,2022/6/15 6:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,6,15,6
30,2022/6/15 7:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,7,15,6
31,2022/6/15 8:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,8,15,6
32,2022/6/15 9:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,9,15,6
33,2022/6/15 10:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,10,15,6
34,2022/6/15 11:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,11,15,6
35,2022/6/15 12:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,12,15,6
36,2022/6/15 13:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,13,15,6
37,2022/6/15 14:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,14,15,6
